Timestamp,I did reflect on how a design option could impact the stakeholder’s concerns.,(optional) Are there any additional remarks to your answer?,The templates motivated me to document the reasons behind the chosen design options.,(optional) Are there any additional remarks to your answer?,"When addressing a new concern, the templates motivated me to revisit earlier design decisions.",(optional) Are there any additional remarks to your answer?,The game helped me maintain the consistency among the design decisions.,(optional) Are there any additional remarks to your answer?,"To make design decisions, I had to consider trading a quality attribute for another.",(optional) Are there any additional remarks to your answer?,The quality impacts on the concern cards motivated me to explicitly reason about trade-offs in quality.,(optional) Are there any additional remarks to your answer?,"To decide on the best design option, I discussed design ideas with the other players.",(optional) Are there any additional remarks to your answer?,The use of the decision preparation template gave me an opportunity to contribute new design ideas.,(optional) Are there any additional remarks to your answer?,The differences (e.g. in experience) between the players led to discussions about different design ideas.,(optional) Are there any additional remarks to your answer?,"During the game, we had to change past decisions.",(optional) Are there any additional remarks to your answer?,"When changing design decisions, I maintained the consistency among design decisions.",(optional) Are there any additional remarks to your answer?,The templates helped me to revisit design decisions to maintain consistency among changed design decisions.,(optional) Are there any additional remarks to your answer?,"As the design progressed, changing a design decision required me to use an increasing amount of time to maintain consistency between design decisions.",(optional) Are there any additional remarks to your answer?,The game was fun.,(optional) Are there any additional remarks to your answer?,The cards were easy to understand.,(optional) Are there any additional remarks to your answer?,The rules were clear.,(optional) Are there any additional remarks to your answer?,The scoring sheet was clear.,(optional) Are there any additional remarks to your answer?,"Did you address all concerns? If yes, how long did it take?",(optional) Are there any additional remarks to your answer?,What is your Game Group-ID?,What master programme are you enrolled in?,Do you have any professional experience as a: [Software Developer],Do you have any professional experience as a: [Software Engineer],Do you have any professional experience as a: [Software Architect],(optional) Are there any additional remarks to your answer?,What did you learn during the game?,Do you have any feedback or suggestions for the game?
11/26/2018 12:06:40,Strongly Agree,,Agree,,Agree,,Neutral,,Agree,,Neutral,,Strongly Agree,,Agree,,Neutral,,Agree,,Neutral,,Neutral,,Agree,,Agree,,Agree,,Agree,,Agree,,We did not address all concerns.,,Queen of hearts,Computer science: software engineering and green it,Yes,Yes,No,,That the communication of the rationale is important for convincing your colleagues. ,No
11/26/2018 12:06:42,Agree,,Agree,,Disagree,,Neutral,,Strongly Agree,,Agree,,Neutral,We always agreed,Agree,,Disagree,,Disagree,,Disagree,We did not change any decisions,Disagree,,Not Applicable (N/A),,Neutral,"There really wasn't enough time, especially given that we had to write down everything by hand.",Agree,,Agree,,Neutral,,We did not address all concerns.,,Queen of Clubs,Computer Science,No,No,No,,"That making design decisions is easy when all options have clear, numerical consequences on quality attributes.","Perhaps you could use more imaginative Concern/Event cards, and give 15 more minutes to allow players to actually think about their decisions."
11/26/2018 12:07:41,Agree,,Agree,,Agree,,Neutral,,Agree,,Agree,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Neutral,,Agree,,Agree,,Neutral,,Strongly Agree,,Agree,,Neutral,,We did not address all concerns.,,Queen Hearts,Software Engineering and Green IT,Yes,Yes,No,,"That we have to maintain the quality attributes that had a high priority for the stakeholders. We did this by revising the design decisions we made. This resulted in a general architect. Therefore, it can be a good game at the beginning of the design phase.",No
11/26/2018 12:08:45,Strongly Agree,,Neutral,"Because you are already discussing your individual rationale for a certain design option immediately after you picked one, there is no need to really write it down.",Disagree,"Because we only got to play one real round , thus only one event occurring, we didn't really got the chance to revise our previous design decisions and checking if other options would suit the case better.",Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Disagree,,Agree,,Disagree,,Agree,,Neutral,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,We did not address all concerns.,,Queen of Clubs,Computer Science,Yes,Yes,No,,Make a clear reasoning about the trade-off in requirements for each design options,"Maybe give a little bit longer of time, to make the occurrence of event cards more likely."
11/26/2018 12:09:14,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Strongly Agree,,Agree,,Strongly Agree,,Neutral,,Agree,,Agree,,Agree,,Agree,,Strongly Agree,,Agree,,Agree,,We did not address all concerns.,We were a group of 3,Kings Diamonds,Computer Science: Software Engineering & Green IT,Yes,Yes,No,,That it is really hard to reach all the quality attributes with many concerns,More time to play
11/26/2018 12:09:55,Agree,,Agree,,Agree,,Neutral,,Not Applicable (N/A),,Strongly Agree,,Strongly Agree,,Neutral,,Neutral,,Strongly Agree,,Neutral,,Neutral,,Agree,,Neutral,,Strongly Agree,,Strongly Agree,,Strongly Agree,,We did not address all concerns.,,Queen of hearts,Computer science,No,No,No,,To find a balance between concerns of stakeholders when making a decision.,"Since we were already instructed to study the rules beforehand, start the game right away."
11/26/2018 12:10:21,Agree,I think the priority should be multiplied with the score instead of ignored when summing the final score.,Disagree,There wasn't enough time to think and write and discuss so the writing of my own rationale was placed on a back burner.,Disagree,None of our previous concerns got altered due to the event cards or new concerns.,Disagree,It resulted instead in mix and match plusses and minuses.,Agree,,Agree,,Strongly Agree,This was the most interesting aspect of the game -- the discussion.,Disagree,There wasn't really enough time to make good use of it and resulted more in being thought up during the discussion.,Neutral,There usually weren't many options to meet the priorities so there often also wasn't much discussion.,Agree,When the event cards modified the priorities.,Neutral,,Neutral,"The templates were useful for providing structure to the game, not so much for assisting thought.",Agree,,Agree,,Strongly Agree,,Agree,,Agree,,We did not address all concerns.,,Kings Diamonds,Computer Science (Security),No,No,No,,Discussing decisions and working together to address as many concerns as possible.,Perchance a time extension because currently the game felt so hectic there was little time to reason and/or think for me. I also write slow so perhaps a digital scoring form (e.g. excel sheet) that automatically sums would be really useful.
11/26/2018 12:11:07,Strongly Agree,,Strongly Agree,,Strongly Agree,,Disagree,"Sometimes it's really hard to be consistent, especially when the a new event with unexpected consequences surfaces",Strongly Agree,,Strongly Agree,,Agree,"Discussion important, but sometimes a decision should be made asap if time is running out",Agree,,Neutral,"I believe yes in reality, but not in our case in the game",Agree,Esp when an ugly event unwraps,Neutral,"Sometimes you have to, but sometimes you have to be rationale to accept other better ideas",Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,We did not address all concerns.,We need more time,Kings Diamonds,Computer Science,Yes,Yes,No,"Software engineer and developers don't usually think much about stakeholder concerns, they just do what's asked. So the software architect's role is essential.","The design tradeoffs, hard to satisfy everybody","Game is fun, but we need more time"
11/26/2018 12:11:56,Agree,"Yes, but when the + and - values were already given, we just looked at those.",Agree,,Agree,,Disagree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Disagree,,Neutral,,Neutral,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,We did not address all concerns.,,10 cloves,Computer Science: Big Data / Business Analytics,Yes,No,No,,Looking in a more abstract way at design decisions (e.g. with +s and -s),45 minutes instead of 30 would be better. 
11/26/2018 12:13:14,Strongly Agree,,Agree,,Neutral,,Agree,,Agree,,Agree,,Strongly Agree,,Agree,Not all required new options. The solutions had enough coverage over the attributes,Agree,,Not Applicable (N/A),,Not Applicable (N/A),,Neutral,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,We did not address all concerns.,,10 Diamonds,Computer Science,No,No,No,,How to work as a group of architecture designers working in harmony to come out with the best decisions considering all the trade offs. A democratic decision making process for a good architectural schema. ,"Yes
More time required to finish the game. "
11/26/2018 12:13:14,Strongly Agree,,Strongly Agree,,Strongly Agree,,Disagree,We could chose a set of answers that woulndnt make sense if put together ,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Agree,,Strongly Agree,,Disagree,,Strongly Agree,,Neutral,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,We did not address all concerns.,,10clubs,Computer Science (SEG),Yes,No,No,,Make decisions quickly,Mention that you have to keep pace if you want to address all concerns 
11/26/2018 12:13:15,Agree,,Neutral,,Agree,,Agree,,Agree,,Agree,,Agree,,Neutral,,Agree,,Agree,,Neutral,,Agree,,Agree,,Strongly Agree,,Agree,,Neutral,,Agree,,We did not address all concerns.,Needed another 15-20 minutes for all concerns ,jack of hearts,CS(Green IT),No,No,No,,balance,extend the game duration from 30 minutes to 1 hour.
11/26/2018 12:13:44,Strongly Agree,,Agree,,Neutral,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Agree,,Disagree,,Neutral,,Neutral,,Neutral,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,We did not address all concerns.,,10 Diamonds,Computer Science(Software Engineering & Green IT),Yes,No,No,,It is very important to keep the decision documented to understand why is it chosen later,Maybe having more time since we only finished one round
11/26/2018 12:13:55,Strongly Agree,"After each concern card, I reflected on the impact on each stakeholders QA requirements",Agree,"When I noticed that we had only a few minutes to go through the rest of the game, the documentation became less detailed on my personal template. I was also responsible for filling out the group's template so more time was focused on writing that.",Neutral,We had an event occuring but it had no impact on us due to our prior decisions. So that felt good.,Neutral,"The design decisions had to be balanced to please all stakeholders. It seemed like at some point, the decision agreed upon conflicted with my personal opinion but had to be made due to the stakeholder satisfaction.",Strongly Agree,"Yes, this seemed to be a common theme in the game. While again, not in accordance with my personal technical opinions, it had to be done.",Strongly Agree,Every decision was carefully maintained to ensure that no important quality attributes were too hindered or too impacted.,Strongly Agree,We spent way too much time on deciding design options!,Neutral,,Strongly Disagree,We were all very consistant in our ideas,Not Applicable (N/A),,Agree,,Strongly Agree,Towards the end we kept revisiting the template,Disagree,,Strongly Agree,,Agree,Some cards were a bit harder!,Strongly Agree,,Strongly Agree,,We did not address all concerns.,,Queen of Spades,Computer Science - Big Data Engineering,No,No,No,,Software decisions are solely driven by the stakeholders and not always the technical ideas.,The game definitely requires longer playing time!
11/26/2018 12:14:26,Agree,,Neutral,,Agree,,Agree,,Strongly Agree,,Neutral,,Agree,,Agree,,Neutral,,Disagree,,Not Applicable (N/A),,Not Applicable (N/A),,Neutral,,Agree,,Agree,,Agree,,Neutral,,We did not address all concerns.,,9 hearts,Computer Science UvA,Yes,Yes,No,,"Reflect on stakeholders concerns , and learned that we had to sacrifice lower priority ones. ","More time, we did not have time to finish the game"
11/26/2018 12:15:01,Strongly Agree,,Agree,"Sometimes you think of reasons to not take a design option you're imposed to take using only the requirements you have, for example 3rd party services that handle privacy-sensitive data",Neutral,The event we had during the game did not change our design decisions as the new requirement was satisfied already,Disagree,,Agree,,Agree,,Agree,,Agree,,Not Applicable (N/A),Players did agree on almost all concerns,Disagree,We did have only one event,Not Applicable (N/A),,Not Applicable (N/A),,Not Applicable (N/A),,Agree,,Agree,,Agree,,Agree,,We did not address all concerns.,We missed out on 3 concerns,Queen of Clubs,Software Engineering & Green IT,Yes,Yes,No,,Sometimes you need to take trade-offs you normally wouldn't take,A little more time to have time to write down rationales
11/26/2018 12:15:18,Agree,,Neutral,The rationale ended up being mostly about the +'s and -'s.,Disagree,"We did not have enough time to finish each concern, so we did not really have time to revisit anything.",Agree,,Strongly Agree,,Agree,,Agree,,Neutral,It was kind of hard to do this and also think about the impact on QA's,Agree,,Strongly Disagree,We did not have time to do this.,Not Applicable (N/A),,Not Applicable (N/A),,Not Applicable (N/A),,Agree,,Agree,,Strongly Agree,,Agree,I would switch the places of QA scores and QA targets in the second table,We did not address all concerns.,,King of hearts,Parallel Computing Systems,No,No,No,,Making quick decisions,Maybe increase the amount of time for the game
11/26/2018 12:16:02,Agree,,Neutral,,Strongly Agree,,Agree,,Neutral,,Neutral,it was mostly about the pluses and minuses,Neutral,Limited time makes it about about the pluses and minuses without discussing,Agree,,Disagree,,Agree,,Neutral,,Agree,,Agree,,Strongly Agree,,Strongly Agree,make clear as to what to do with card having less than 3 options and question marks,Strongly Agree,,Strongly Agree,,Yes. We played more than 15 minutes.,,Jack of hearts,Computer Science: Computer Systems Security track,Yes,No,No,,How to find a common ground with pros and cons to each design decision,It need to be made longer to encourage more discussion of each design decision.
11/26/2018 12:16:18,Strongly Agree,Maybe we were too busy worrying about the plusses and minuses in stead of the text that was on the card. ,Neutral,"There was not enough time to fill everything in individually and as a group, so documentation turned out to be not efficient.",Agree,"Yes, but again, more focussed on the minuses and plusses instead of the text. ",Neutral,,Agree,,Agree,But not enough time,Agree,But again more focussed on the pluses and minusses,Agree,,Neutral,I did not now what their experience was. ,Agree,,Not Applicable (N/A),Do not understand this question? ,Not Applicable (N/A),"The template could be clearer the counting of plusses and minusses took some time, escpecially when they changed the template became less clear. ",Agree,,Neutral,,Agree,,Agree,,Agree,,We did not address all concerns.,,Jack of hearts ,Information Studies ,No,No,No,Only experience from the course assignment ,That QA are in relation to each other and have impact on each other. ,"More time, template could be clearer to have a better overview of the total score for each QA during the game. "
11/26/2018 12:16:21,Strongly Agree,,Agree,,Disagree,,Agree,,Strongly Agree,,Agree,,Agree,,Neutral,,Strongly Agree,,Not Applicable (N/A),We didn't even reach the point where we could pick a event card,Agree,,Agree,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,We did not address all concerns.,,10 diamonds,"Information sciences, business track",Yes,No,No,"Not really a software developer, but I do have experience in building Buisiness Intelligence solutions for customers and there the tradeoff of quality attributes is also applicable.",How to do the trade-off between different quality attributes and that it is not possible to have everything as the stakeholders want it.,"It was fun, however we didn't even got past the first round, so maybe give more time to play?"
11/26/2018 12:17:30,Agree,"The reflection took place when the event happened, but I was already expecting it (malicious ads event)",Agree,"Given the time restrictions, I felt that there was not enough time to fully document decisions",Strongly Agree,,Agree,,Strongly Agree,Agreed but earlier decisions also impacted the ones I was currently making,Neutral,,Strongly Agree,,Neutral,,Neutral,,Neutral,,Agree,,Agree,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,We did not address all concerns.,,Queen Spades,CS:PCS,Yes,No,No,,I was already aware of design decisions and their trade-offs with respect to  the stakeholder concerns. It was interesting to see how past decisions would affect new ones.,A few extra minute of play would have been nice.
11/26/2018 12:17:33,Agree,,Agree,,Neutral,Due to the time constraint we didn't really do this as much as I would have liked,Disagree,Due to the time constraint,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,"We found out that the scores for maintainability and usability were really bad, so we revised some old decisions",Neutral,,Agree,,Disagree,,Strongly Agree,,Agree,"Not strongly agree, because there was a lot of information on one card that you needed to take into account",Strongly Agree,,Strongly Agree,,We did not address all concerns.,,Ace clubs,Computer Science,Yes,No,No,,To think about the actions your decisions have on the quality attributes and what it is like to choose between which quality attributes to focus on and to trade-off between the different QAs,"I would like some more time, but otherwise nice game!"
11/26/2018 12:17:38,Strongly Agree,,Strongly Agree,,Disagree,,Agree,,Strongly Agree,,Agree,,Strongly Agree,,Neutral,,Strongly Agree,,Disagree,,Not Applicable (N/A),,Not Applicable (N/A),,Not Applicable (N/A),,Agree,,Strongly Agree,,Agree,Only the <?> was not clear at the start of the game.,Strongly Agree,,We did not address all concerns.,,10 diamonds,Computer Science (Joint degree with UvA),Yes,Yes,Yes,We needed more time.,"I learned that balancing quality attributes is an important but difficult task. I also learned that it is important to discuss the design decision with people who have more experience in a certain area. I also learned that taking a design decision can take a lot of time.
",Increase the game duration to 1 hour.
11/26/2018 12:18:15,Strongly Agree,,Neutral,We were sometimes too much thinking about it in terms of points in the game rather than how this would actually work in practice in the real world.,Strongly Agree,,Neutral,"Some of the design decisions would not make sense in real life but still gave us good points. E.g. we had three different places to store data, local, distributed and cloud, but in real life it would be better to keep the same decision for all types of data.",Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,"We did not do this, but it's good to have the option",Disagree,We rarely thought about what we were actually designing and more about the points,Strongly Agree,We changed two former decisions,Disagree,Explained above,Agree,,Strongly Agree,30 minutes was way too short for this game!,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,We did not address all concerns.,"We only managed to address 4 out of 10 concerns in 30 minutes, and didn't even manage to finish a round and use an event card.",10 Hearts,"Computer Science, Internet and Web Technology",Yes,Yes,No,"Where I come from, Software Developer and Software Engineer is functionally the same position in almost all companies.","I learned that it can be good to analyse which QAs a decision applies to, how it affects them and how to apply that knowledge to designing and deciding between design options.",I would have liked to play for longer to actually have a chance to finish! 60 minutes would be a minimum I think.
11/26/2018 12:18:27,Strongly Agree,,Agree,The empty options on the concern cards were discussed with the group instead of individually,Disagree,We were more focussed on the points instead of the actual concerns themselves. Sometimes we disagreed with the +’s and -‘s,Agree,,Strongly Agree,"The options were balanced and caused some discussion in our group, which is good",Strongly Agree,,Strongly Agree,Every turn we discussed our individual thoughts,Neutral,We were all able to discuss our ideas by simply giving everyone a chance to explain their rationale ,Agree,We usually agreed with each others decisions,Strongly Agree,"The event card changed the priority of maintainability, which influenced a previous decision",Disagree,I was concerned about the plusses and minusses and their influence on the total score,Agree,,Disagree,,Agree,We needed more time since we discussed a lot,Strongly Agree,,Agree,,Strongly Agree,,We did not address all concerns.,We concerned only 5 concern cards because of the limited time and discussion,Queen of hearts,Bioinformatics & Systems biology,Yes,No,No,,Sudden events can really change design decisions in an architecture,Please extend the time to 45 minutes since I enjoyed the game and would’ve played longer if allowed to.
11/26/2018 12:18:45,Strongly Agree,,Disagree,You focus mainly on QA priority and the points awarded. ,Neutral,Our event didn't affect our design decision. ,Neutral,,Agree,,Agree,,Agree,when playing the game you mainly evaluation the point awarded. ,Neutral,,Neutral,,Disagree,,Agree,,Disagree,They were merely forms,Neutral,Have not encountered that during our game.,Agree,but 30 min was to short. ,Neutral,Except for the question marks,Agree,,Agree,,We did not address all concerns.,We managed to get to half the pile of concerns. ,9 Diamonds,Master information science,No,No,No,,Addressing the different concerns of multiple stakeholders is difficult. ,Longer time slot than 30 min. 
11/26/2018 12:18:52,Agree,,Neutral,"Because the game is timed, that makes you less motivated to document the answers",Disagree,"Again, the fact that the game is times makes you not want to revisit any decisions",Neutral,,Strongly Agree,,Agree,,Strongly Agree,,Neutral,"Again, it was stressful to come up with new ideas because of the limited time",Agree,,Strongly Agree,,Neutral,Did not feel like we had much time to spend on doing that,Neutral,,Neutral,,Agree,,Agree,,Agree,,Agree,,We did not address all concerns.,,Queen Diamonds,Computer Science UvA,Yes,Yes,No,,"There are a lot of trade off between quality attributes, and you may have to reconsider many design decisions even late in the game/design process.","More time, maybe 60 min or 45. "
11/26/2018 12:19:06,Strongly Agree,,Agree,,Agree,,Disagree,,Strongly Agree,,Agree,,Strongly Agree,,Neutral,,Neutral,,Strongly Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,We did not address all concerns.,,Ace Clubs ,Computer Science ,No,No,No,,Its challenging to make design decisions and meet the concerns of the stakeholders,Fun game but little time
11/26/2018 12:19:07,Strongly Agree,,Strongly Agree,,Agree,,Neutral,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Neutral,,Agree,,Agree,,Agree,,Agree,,Strongly Agree,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,We did not address all concerns.,,Queen diamonds,Computer Science (TAI),Yes,Yes,Yes,,"I learned that it's better to know about all the stakeholders' concerns as early as possible in the architecture design process; I think this would have a very positive impact on the speed and cost of the design, as well as on the overall stakeholder satisfaction.","The time constraint should be increased to at least 60 minutes to allow more in depth discussions about the concerns and design changes, and hence making the game a better learning experience."
11/26/2018 12:19:10,Agree,,Agree,,Disagree,,Agree,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Neutral,,Disagree,"This could have happened, but we felt that the lack of time did not allow us to debate on decisions rather long.",Disagree,,Neutral,,Strongly Agree,,Agree,A nice way to get a nice hang on how quality requirements relate to eachother,Strongly Agree,,Agree,,Agree,,We did not address all concerns.,,Ace of Harts,Information Sciences,No,No,No,,"That time is really of essence, I kind of felt that there was not enough time to process each option really well","I liked the game, but to improve the learning curve I would really suggest giving more time to process the options. It would mean that students would have more time to think the consequences of their actions through"
11/26/2018 12:19:30,Agree,,Agree,,Neutral,,Agree,,Strongly Agree,,Agree,,Strongly Agree,,Disagree,I think there should be a limit of attributes we can add and their overall effect.,Strongly Agree,,Disagree,,Not Applicable (N/A),Because we did not change any design decisions,Neutral,,Neutral,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,We did not address all concerns.,,Queen Spades,Computer Science: CSS,Yes,Yes,No,,That we cannot address every priority perfectly and have to make sacrifices from some of the quality attributes to come up with a balanced design.,"It would be nice if we have some more time to play, it is understandable for experienced players to finish this game earlier than 30 minutes but it is not likely for someone to finish the game earlier on their first try."
11/26/2018 12:19:33,Agree,,Disagree,,Agree,,Neutral,,Strongly Agree,,Neutral,,Agree,,Neutral,,Neutral,,Neutral,,Agree,,Agree,,Agree,,Neutral,,Agree,,Neutral,,Agree,,Yes. We played more than 15 minutes.,,Jack of clubs,Computer Science,Yes,No,No,,Satisfying the quality attributes specified may require to follow design decisions which may not be optimal according to one's personal opinion.,More time.
11/26/2018 12:19:34,Agree,,Neutral,,Agree,,Strongly Agree,,Agree,,Agree,,Neutral,,Agree,,Neutral,,Disagree,,Not Applicable (N/A),,Not Applicable (N/A),,Not Applicable (N/A),,Strongly Agree,,Strongly Agree,,Agree,,Agree,,We did not address all concerns.,I think it would be better to have something like 40-45 minutes. Or maybe we spent too much time without knowing what else was out there.,Queen of Spades,Computer Science (Systems Security track),Yes,Yes,No,,"You have to actually learn how to trade-off between different quality attributes and think hard on how to address them without putting ""in danger"" any of the other quality attributes.","Game was fun and interactive, could be a little longer though."
11/26/2018 12:19:46,Strongly Agree,,Agree,For some cases we had to come up with our own design but for the most part the templates were good options. ,Neutral,More so when an event card came up. ,Disagree,It would have if there were no time constraints. ,Strongly Agree,It became a balancing game in the end. ,Strongly Agree,,Strongly Agree,,Disagree,There wasn’t enough time,Agree,,Strongly Agree,,Neutral,Became hard to track towards the end,Strongly Agree,,Strongly Agree,,Agree,Yes but it would have been productive if the time limit was longer (or not there preferably),Strongly Agree,,Strongly Agree,,Strongly Agree,,We did not address all concerns.,Just one left!,Queen diamonds,Computer Science Big data engineering ,Yes,Yes,No,,Making decisions involves a lot of thinking and coming up with one that satisfies everybody is almost always not possible. It becomes a game of trade offs eventually. ,"Should be longer, otherwise a really helpful game! Will definitely use this technique for our own project. "
