Timestamp,I did reflect on how a design option could impact the stakeholder’s concerns.,(optional) Are there any additional remarks to your answer?,The templates motivated me to document the reasons behind the chosen design options.,(optional) Are there any additional remarks to your answer?,"When addressing a new concern, the templates motivated me to revisit earlier design decisions.",(optional) Are there any additional remarks to your answer?,The game helped me maintain the consistency among the design decisions.,(optional) Are there any additional remarks to your answer?,"To make design decisions, I had to consider trading a quality attribute for another.",(optional) Are there any additional remarks to your answer?,The quality impacts on the concern cards motivated me to explicitly reason about trade-offs in quality.,(optional) Are there any additional remarks to your answer?,"To decide on the best design option, I discussed design ideas with the other players.",(optional) Are there any additional remarks to your answer?,The use of the decision preparation template gave me an opportunity to contribute new design ideas.,(optional) Are there any additional remarks to your answer?,The differences (e.g. in experience) between the players led to discussions about different design ideas.,(optional) Are there any additional remarks to your answer?,"During the game, we had to change past decisions.",(optional) Are there any additional remarks to your answer?,"When changing design decisions, I maintained the consistency among design decisions.",(optional) Are there any additional remarks to your answer?,The templates helped me to revisit design decisions to maintain consistency among changed design decisions.,(optional) Are there any additional remarks to your answer?,"As the design progressed, changing a design decision required me to use an increasing amount of time to maintain consistency between design decisions.",(optional) Are there any additional remarks to your answer?,The game was fun.,(optional) Are there any additional remarks to your answer?,The cards were easy to understand.,(optional) Are there any additional remarks to your answer?,The rules were clear.,(optional) Are there any additional remarks to your answer?,The scoring sheet was clear.,(optional) Are there any additional remarks to your answer?,"Did you address all concerns? If yes, how long did it take?",(optional) Are there any additional remarks to your answer?,What is your Game Group-ID?,What master programme are you enrolled in?,Do you have any professional experience as a: [Software Developer],Do you have any professional experience as a: [Software Engineer],Do you have any professional experience as a: [Software Architect],(optional) Are there any additional remarks to your answer?,What did you learn during the game?,Do you have any feedback or suggestions for the game?
11/26/2018 12:19:57,Agree,,Agree,,Neutral,,Agree,,Agree,,Neutral,,Agree,,Agree,,Neutral,,Disagree,,Agree,,Neutral,,Disagree,,Neutral,,Agree,,Agree,,Agree,,We did not address all concerns.,,King of Hearts,M Computer Science; track Software Engineering and Green IT,Yes,Yes,No,,"That it is importance to think about multiple quality requirements when deciding to address a specific concern. Some decisions when sounding very helpful can decrease a certain quality requirement, which can be of importance to a specific stakeholder to address. I think that rethinking some decisions can benefit stakeholder, but it is always important to think about the consequence a decision can bring. The game was interesting, I learned important lessons about addressing concerns with specific decision decisions. ","No, I do not have any feedback or suggestions for the game."
11/26/2018 12:20:00,Strongly Agree,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Disagree,,Neutral,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,We did not address all concerns.,,Jack of spades,"Computer science, big data track",No,No,No,,It is hard to meet stakeholder concerns while not sacrificing other QAs,It was a great game. I don't
11/26/2018 12:20:09,Strongly Agree,,Disagree,There was not enough time to write the rationale. We had no time to look further than just looking add the sum of plusses and minuses.,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,The reason behind choices where only about the points.,Agree,"Again, we argued about the ideas, but just based on the plusses and minuses. ",Disagree,Not enough time,Strongly Disagree,Not enough knowledge of potential options.,Strongly Agree,,Neutral,,Strongly Agree,,Disagree,,Neutral,,Agree,,Agree,Maybe instead of a general explanation. Show one example of filling in the concern form. ,Strongly Agree,,Yes. We played more than 15 minutes.,,Jack Hearts,Information Science,No,No,No,,"Making a decision could have a negative impact on a QA, and a positive one on another one. ",45 min instead of 30 min
11/26/2018 12:20:14,Agree,,Strongly Agree,"template showed a clear impact on the Quality attributes, hence made easy to have a better overview",Agree,,Agree,We were always aware of making decisions keeping in mind the Quality attributes.,Strongly Agree,"For satisfying every QA, a balanced was must to be maintained.",Agree,,Agree,,Agree,,Agree,It would have been great if we could have more time to discuss it more,Disagree,,Agree,,Disagree,Dint get time to revisit my design decisions ,Neutral,,Strongly Agree,We were over involved in the discussion in the early design decisions as a result we dint have enough time to address each concern. I would really like to do these types of activities in a bigger time frame,Agree,,Agree,,Agree,,We did not address all concerns.,,9 of Diamond,Masters in Computer Science Big Data,Yes,No,No,,Things to keep in mind in order to design a software architecture,A longer time to play
11/26/2018 12:20:20,Agree,,Neutral,,Agree,,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,Neutral,,Agree,,Strongly Agree,,Agree,,Agree,,Disagree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,We did not address all concerns.,,Ace-clubs,Computer science ,No,No,No,,We should consider trades off and priority between stakeholders more carefully.,"30 minutes is not enough, maybe a little longer next time."
11/26/2018 12:20:25,Agree,,Neutral,,Strongly Agree,,Disagree,,Agree,,Neutral,,Strongly Agree,,Neutral,,Disagree,,Agree,,Neutral,,Neutral,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,We did not address all concerns.,,Ace-clubs,Computer Science,Yes,No,No,,"Collaborate with people I do not know, discuss about our points of view, be quick on decision making, be able to change my mind quickly, be able to understand what is more important for the system","No everything was fine and fun maybe we just needed a little more time, but it a game!"
11/26/2018 12:20:41,Agree,,Neutral,I feel time was bit less so to document the proper reason in the given time was bit difficult,Agree,,Agree,,Agree,,Agree,,Agree,,Neutral,,Agree,,Neutral,The event card we got was fire so it changed only the string of data in multiple databases and we choose the option already so we did not made any changes,Neutral,,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,We did not address all concerns.,i guess we took more time in first 2-3 concerns so we missed last 2,King Hearts,Computer Science,Yes,No,No,,It was a fun game i learned that to satisfy the stakeholders is not easy you have to give efforts for every quality attribute.Design decisions for one concern can effect other decisions about other concerns. So somehow most of the concerns were interrelated.So we have to give priority to each concern.,I guess every part of the game was good just the time limit was bit less as you have to discuss every aspect with 4 people and explain your mindset takes time so to address 9 concerns in 30 mins was bit difficult
11/26/2018 12:20:45,Agree,,Agree,,Disagree,,Agree,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Disagree,,Neutral,,Disagree,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,We did not address all concerns.,,Jack of Spades,Computer Science: SEG,Yes,Yes,No,,"Discussing the concerns with the team mates was quite nice, since we all offered other perspectives. I learned that it was hard to balance the priorties of the stakeholders.","The time to actually play the game felt quite short. Also, a bigger room for the introduction would have been nice, although this was not a major negative."
11/26/2018 12:21:40,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Neutral,,Strongly Agree,,Strongly Agree,,Neutral,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,We did not address all concerns.,,Jack Spades,Software Engineering and Green IT,No,No,No,,"I learn how we need to consider all the quality attributes for each concerns, and also, for the stakeholders, the users and owners, we need to rank their concerns and choose every best option to satisfy them.",It's really good and fun for me to review what we've learned before for assignment 1.
11/26/2018 12:21:41,Agree,,Agree,,Neutral,,Neutral,,Agree,,Neutral,,Strongly Agree,,Agree,,Agree,,Not Applicable (N/A),"We considered changing a previous decision, but decided to postpone the change until future concerns.",Not Applicable (N/A),,Not Applicable (N/A),,Not Applicable (N/A),,Agree,,Agree,,Agree,,Agree,,We did not address all concerns.,30 minutes for 10 concerns and several events is simply not enough.,9 clubs,Master's in Computer Science (Internet and Web Technology),Yes,No,No,,"* Design decisions require the balancing of different quality attribute requirements from different stakeholders; therefore, they are a fairly involved process.
* An architect's environment (prior experience) affects the design decisions that architect makes.
* Certain events can greatly affect, and even require one to revisit design decisions made in the past.",30 minutes is far too less to complete the game.
11/26/2018 12:22:01,Agree,,Agree,,Neutral,,Neutral,,Agree,,Agree,,Strongly Agree,,Neutral,,Neutral,,Agree,,Disagree,,Neutral,,Neutral,,Agree,,Agree,,Agree,,Agree,,We did not address all concerns.,,Diamond Jacks,Information Sciences,No,No,No,,That making design decisions is hard when stakeholders have different QA's.,We tried to get as close as possible to the QA priorities but noticed that when you score really high on the scorecard (e.g. you would have +10 on maintainability) you would be able to have a better score in the end. Even though the stakeholders might not want all that maintainability or when other QA's get less. So an extremely maintainable system would make you win the game even though none of the stakeholders would be happy.
11/26/2018 12:22:19,Agree,,Neutral,,Agree,"In some cases, when deciding on some concerns we had to come back and rethink some other choices we made, and how they affect our stakeholders concerns.",Disagree,"I could not maintain a consistency due to the trade-offs. The nature of the game with the point system did not allow me to be consistent in my design options. Often, I found myself taking another path to ensure that I meet the stakeholders need",Strongly Agree,"Yes, most of the given design options required us to do some kind of tradeoff. For instance, one option favored security over performance while the other did not. This was hard.",Agree,"I had to reason to my group why I made a certain choice and if accepted, integrate it as a group choice. So, yes, explicitly reasoning about trade-offs was required in most parts.",Strongly Agree,"Every concern was discussed, until decided upon.",Disagree,"The time was limited, we did not have time to address 5 concern cards let alone think of our own ideas.",Agree,"In most of the design options we chose (individually) a separate path, probably due to individual insight, past experience etc.",Agree,"After the event we though of changing one design option, but, we did not have time to go through with it.",Not Applicable (N/A),,Not Applicable (N/A),,Not Applicable (N/A),,Agree,I think it needs a bit more time.,Strongly Agree,,Strongly Agree,,Strongly Agree,,We did not address all concerns.,,9 clubs,MSc Computer Science,Yes,Yes,No,,"I learnt that it might be too difficult to balance the design procedure. In addition, rationalizing and having social skills is strongly required. If you cannot argue well about your design option then it is not going to be an option for much longer.",Yes. I think it is too difficult to achieve a passing score in a single match for a first timer. Maybe something to loosen it up a bit.
11/26/2018 12:22:25,Agree,,Agree,,Agree,,Agree,,Agree,"We had to look carefully at the stakeholders priorities, especially near the end of the game.",Agree,,Agree,"Yes, These also showed me other perspectives on how to look at a specific concern",Agree,The question marks,Neutral,"Mostly we were on the same level, especially later in the game",Not Applicable (N/A),"No, No events that caused this",Not Applicable (N/A),see 10,Not Applicable (N/A),,Neutral,,Agree,Discussion the opinions about a concern were fun,Agree,,Agree,We had to read the assignment at home. It was good Remco gave an introduction,Agree,,We did not address all concerns.,,Ace Diamonds,Computer Science - Big Data,Yes,Yes,No,,Discuss about your own opinion,Make plastic cards
11/26/2018 12:22:25,Strongly Agree,,Strongly Agree,,Strongly Agree,,Neutral,The event cards were very difficult to handle given the decision we have done before. At some point we had to focus on improving a specific quality attribute over several turns.  ,Strongly Agree,"Specially after the event cards, the priorities for the software architects would change. ",Strongly Agree,,Strongly Agree,We had to reason why each of the options would improve our system's architecture. It was very important to balance all quality attributes in order to avoid leaving one behind.,Neutral,"Given the time constraints, it was difficult to write my rationale and then discuss with the team. We were more efficient by first discussing together, giving our opinions and then writing down the group decision.",Neutral,We all had the same level of experience.,Disagree,"Instead of changing past decisions, we focused on taking future decisions that would improve the score on a specific quality attribute.",Agree,,Agree,,Strongly Agree,"Initially we decided quickly on an option, but as we progressed within the game, we had to consider our previous decisions and how our next decision would affect the overall score and how we are in line with the stakeholders' needs.",Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,We did not address all concerns.,"One concern was left, but if we would have been one minute quicker, then we would have addressed all concerns.",A (diamond),Msc. Computer Science and Big Data Engineering,Yes,No,No,,It is almost impossible to handle all stakeholder concerns and managing the spontaneous events that have architectural impacts.,The game was great!
11/26/2018 12:22:33,Strongly Agree,I have taken into account all the QA,Agree,I agree because it helps you to reason,Agree,We have definitely revisited the previous concerns to make sure that all of the QA are addressed.,Neutral,,Agree,Sometimes you have to make a trade-off for the QA. either one is addressed or another one.,Agree,,Agree,"after stating your own rationale, we have discussed the design and come up with one idea together.",Neutral,,Agree,The players have different experiences so it was interesting to see the reasoning behind their decisions.,Neutral,,Disagree,"i mean if you change your design decisions, then you are not really consistent. ",Agree,,Neutral,,It was fun because you got to mingle with different experiences and ideas in the group and it was interesting to discuss the ideas.,,Agree,they were not discreet.,Agree,the rules were clear to understand.,Agree,,Yes. We played more than 15 minutes.,we played all 30 minutes and had one concern card left.,A - diamond,Computer Science - Track: Internet & Web Technology,Yes,Yes,No,,That every concern can create new questions and new questions in the design architecture.,no suggestions
11/26/2018 12:22:47,Strongly Agree,,Agree,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Neutral,,Agree,,Neutral,"Debated on changing one, but did not eventually!",Agree,,Agree,,Agree,Debating on a change in decision took extra time from what we could use to solve more concerns.,Strongly Agree,,Strongly Agree,,Strongly Agree,The importance on quality attributes allowed us to ignore the event completely at times and focus solely on discussing and improving quality attributes to win the game.  ,Agree,,We did not address all concerns.,4 concerns left but 0 score(sufficient) before that ,Jack Diamonds,Computer Science (Computer Systems Security),No,No,No,,"Teamwork, Debating and reaching a conclusion in a specific time frame",Adding another rule to rationalize everything and not focus solely on the quality attributes.
11/26/2018 12:24:06,Strongly Agree,Checked impact and priority at each step,Agree,,Agree,"Yes, we had to compensate for earlier design option trade offs in the next one",Agree,"Yes, coherrent design decisions improve overall quality",Strongly Agree,"In almost all cases, a there was a trade off between quality attributes.",Agree,I felt it was important to document how the decision impacted each stakeholder ,Strongly Agree,"All design options were discussed and what the majority of the team felt was better, got chosed as the decision ",Agree,"In one, I proposed my own idea which was the chosen design option.",Strongly Agree,Different perspective gave different insights and ideas.,Agree,"The decision we chose luckily, did not get impact by the event card",Agree,"It is important to keep track of existing design options, future design options and how the existing might be impacted by the future decisions",Agree,The layout of the document/table made it easy to look back on the previous decisions,Strongly Agree,It became progressively difficult to balance design options and decisions.,Strongly Agree,Time should be increased,Strongly Agree,Clear and simple options,Strongly Agree,,Strongly Agree,,We did not address all concerns.,6 out of 9. Still we got a positive score(+2) after subtracting unaddressed concern points.,Queen Spades. Overall score +2,MS CS- Internet and Web Technologies,Yes,No,No,Software development,I learned how to balance trade offs between different quality attributes and their impact on different stakeholders,Duration can be increased. Not sufficient time to address all concerns
11/26/2018 12:24:19,Strongly Agree,,Neutral,There is a motivation to document my reasons but with the time given the reasons just became bullet points,Neutral,It would be nice to revisit earlier decisions but in the limited time we were not able to do so.,Agree,,Strongly Agree,,Agree,,Strongly Agree,,Neutral,,Agree,,Agree,To make sure you pass the game we should have changed past decisions unfortunately we did not come to this point,Not Applicable (N/A),We did not get to change design decisions because of the limited time,Neutral,Did not get to it with the limited time,Agree,,Agree,,Strongly Agree,,Agree,,Agree,,We did not address all concerns.,,Ace of Hearts,Computer Science Big Data Engineering,No,No,No,,"Different design decisions come with different pros and cons, To keep the stakeholders happy you need to take time to consider your options and maintain a balanced system which works for your stakeholders",Extend the time to have more time to reason about your decisions and discuss them with the team. Also the extra time would give a chance to revisit past decisions
11/26/2018 12:25:04,Strongly Agree,,Agree,,Disagree,"As time constraints were a thing, there wasnt enough time to really revisit older decisions as we needed to push through (even then we only handled 4 concerns in the end :( )",Agree,,Strongly Agree,,Strongly Agree,,Agree,"The ""have to fill in"" design ideas were quite difficult to come up with something and we took a long time discussing to get to some solution.",Neutral,,Agree,,Strongly Agree,Just before the time limit there was an event which was why we lost. (we probably still would've lost but pointing fingers is nice) It did mess up the whole balance though.,Neutral,"not sure what you mean by consistency. Every answer was different, but i tried to balance things out.",Neutral,see previous answer.,Agree,yes but there was not enough time for this.,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,We did not address all concerns.,,10 of clubs,Bioinformatics,Yes,No,No,i don't know the difference between developer and engineer but i worked on software at a company,"It is really difficult to address all concerns, especially in such a tight time frame. We addressed less than half of them and really played the long con in the beginning ass we thought we could compensate later on. It turned out we had to play more for the current concerns and events instead of looking to the future.","Maybe more time would be useful, especially if you have to come up with your own answers. These took too long Maybe make two version where you include only the predefined cards in the short time limit and these own cards in the longer time limit."
11/26/2018 12:25:30,Strongly Agree,"That's the reason why we managed to fulfil only 3-4 concerns. We struggled a lot thinking and thinking, but it was pretty nice. ",Neutral,"Actually, we wrote some things, but we preferred a discussion. Writing decisions took quite some time.",Agree,,Agree,,Strongly Agree,,Agree,As a team we tried to keep everything close to the priorities. ,Strongly Agree,,Agree,"However, it takes quite some time to come up with something new.",Neutral,Most of the times we agreed directly. ,Not Applicable (N/A),We did not change anything. The even card was about something that we didn't include in our design decisions (local database). We managed only to draw 1 event card.,Not Applicable (N/A),We did not change anything. The even card was about something that we didn't include in our design decisions (local database). We managed only to draw 1 event card.,Not Applicable (N/A),We did not change anything. The even card was about something that we didn't include in our design decisions (local database). We managed only to draw 1 event card.,Not Applicable (N/A),We did not change anything. The even card was about something that we didn't include in our design decisions (local database). We managed only to draw 1 event card.,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,We did not address all concerns.,"We were 3 instead of 4, but still we wouldn't be able to finish everything on time.",9 Hearts,Computer Science - Parallel Computing Systems,Yes,No,No,,The game was pretty nice and I really liked. I actually understood the impact of the design decisions and the trade-offs. It seems really hard to keep everyone satisfied 100%. ,"The only thing that I have to say is that I think that the time of the game should be increased to more than 30 minutes. The time was not enough for my team (but maybe other teams did better). It actually required fast decisions and writing down things was very time consuming. Finally, I really liked the part that we had the option to come up with something!"
11/26/2018 12:25:34,Strongly Agree,The game is a lot of fun to play and I see how it forces you to reason a lot on concerns. However I think the decisions we sometimes took were excellent for the game's score but in real life would be very weird and out of the question. Like storing information without encryption. I did like the game a lot though and I learned a lot on reasoning about concerns.,Strongly Agree,I really liked the simplicity and the format. However we as a group might have taken the exercise a bit too serious since we took way too long on each concern to reason about it and to come up with the best answer that we did not even get to the first event card. (group of 4),Strongly Agree,"Of the 4 concerns we addressed, we revised 3 answers based on next concerns we had drawn. We also revised 1 concern more than once based on new developments. We are happy to not have drawn the event card, after noting score we checked it and it said that Security would have gone from priority 1 to 2 which would have been even worse for our score since we had been hoping to get security up in future concerns. It was therefore at a low level. Very fun game!",Neutral,"It might have but consistency in terms of addressing concerns? Because the decisions we made were very different and totally inconsistent in technical terms. At a certain point the concerns and the therefrom resulting designed system stated that we stored our data in 2 different ways, a local DB and an external cloud provider which would be weird in a real-life scenario. We were however consistent in trying to constantly even-out our scores and try to maximize the highest priority QA scores.",Strongly Agree,,Strongly Agree,,Strongly Agree,"Of 4 of the concerns we had different ideas about the options on 3 of them and we also had 4 different ways of noting rationale and focussing on different things. Seeing this was a big learning experience, one person from my group did not even note a textual rationale but was only keeping score and checking impacts of options to choose the best one.",Strongly Agree,"I agree that this template is very inviting. However I, or any other person from my group, have not contributed our own ideas.",Strongly Agree,"I am unaware of the experience of my group members so I could not comment on that, however the different approaches like the person only keeping score and basing his decision on that made for some interesting discussions and insights.",Strongly Agree,"We changed 3 of the 4 past concerns, 1 of which we changed twice.",Neutral,"Again, consistency in score but not so much consistency in a technical implementation.",Strongly Agree,,Strongly Agree,"At one point we based our current decision on past decisions. When an event would have come along changing the security priority for example we would have to change a previous decision, which would in turn lead to change all the following decisions. It was therefore becoming increasingly harder to change something.",Strongly Agree,"Very interesting game, I would've loved to finish it but we were so drawn to discussing the different viewpoints with each other that we forgot the time frame. We therefore lost big time.",Strongly Agree,Very nice format! Is the game published anywhere? It is even fun to play it as a past-time activity.,Strongly Agree,,Strongly Agree,,We did not address all concerns.,Sadly we only addressed 4 since we took them very seriously and discussed them in-depth. That was not a good decision when you look at the time frame that we were given. I would love to play the game again and maybe then with a bit more time?,10 Hearts,"Computer Science, track SEG",Yes,Yes,No,"I am a HBO (Bachelor) graduated Software Engineer. I have been developing software since I was 11 and have been taught to actually engineer it at Windesheim. After this I worked for a year as a remote software engineer for Koerbler in Graz, Austria.","How to reason about concerns, how to formulate arguments to convince other group members or at least convey my own interpretation. I also learned that I should take the given time frame more into consideration than I did. The different ways of looking at the given concerns and options was very interesting to see.","Next time this game could be played longer, I really liked the game and its format even though I honestly did not think to like it beforehand!"
11/26/2018 12:25:34,Strongly Agree,,Agree,,Disagree,I would rather move on to the next concern than revisit earlier decisions because of the time.,Agree,"For a bit, but if non-consistent options give more ++ I would rather choose these.",Strongly Agree,,Strongly Agree,,Agree,"We had some fun discussions, but the time limit gets in the way.",Agree,,Strongly Disagree,I think everyone knew what they were talking about.,Agree,But not that many. The time limit pushes the game forward.,Disagree,The best outcome has more value than a consistent decision most of the time.,Neutral,"We didn't change a lot of decisions, but there's enough room to do it.",Strongly Agree,Actually every decision takes quite some time.,Strongly Agree,I really liked this game and would play again.,Strongly Agree,,Strongly Agree,,Strongly Agree,,We did not address all concerns.,We still had 3 concerns left,Ace of hearts,Bioinformatics/Systems Biology,Yes,No,No,,How to balance all QA's according to the needs of the stakeholders.,Make a good printed version on actual playing cards :)
11/26/2018 12:26:38,Strongly Agree,Our approach is to try to satisfy the stakeholders concerns and based on that we made the decisions for each concern card. ,Strongly Agree,I justified the reason for each selection  to discuss it with my team members. The template was helpful. ,Agree,,Disagree,"Personally, I only focused on the ""QA weight count (+,-)"" and the chosen Options were not realistic ( at least for me )",Strongly Agree,,Agree,,Strongly Agree,,Neutral,,Agree,,Strongly Agree,,Neutral,,Agree,,Disagree," The chosen technical option were not the best options to implement in a real life scenario. Honestly, we only focused on the points and yet we did not win.",Strongly Agree,,Agree,Some of the impact scores (- or + ) were not realistic. I remember one option was one neg (-) and it was supposed to be  (--) for availability because it was leading to a single point of failure ,Neutral,We got no Usability +/- on the options. Should it be counted in another way?,No usability weight at all or how to count it.,,We did not address all concerns.,,10 Hearts,MSc CS - SEG,Yes,Yes,No,I would really suggest to display stop-watch for the game. That would be better to play it nicer and arrange the distributed time for each concern card or events.,"Time matters, Qualification of QAs makes achieving goals easier and focused. You can eliminate options if you already have clear priorities  ","More time, Displayed stopwatch. Thanks."
11/26/2018 12:26:49,Strongly Agree,"Most of the time the decision from a concern was starting from the points, and the rational was made afterwards",Agree,Rationals were made up after the decision,Agree,I wish i started earlier with this strategy,Agree,,Strongly Agree,,Strongly Agree,,Agree,At one point the individual phase disappeared and all the game was a group game (because time was running short) ,Disagree,Time was so short that coming up with design ideas was not an option.,Disagree,"Everyone cared about the points, not the SA. So the only experience involved was the one with board play games.",Agree,,Agree,,Agree,,Strongly Agree,,Agree,,Agree,,Agree,,Agree,,We did not address all concerns.,,Jacks of Diamonds,Internet and Web Technologies,Yes,No,No,,Changing design decision is a key in designing an Architecture. Interaction between architects is a key for a good final design.,"It would be int resting to introduce a ""developing"" phase, and after the developing phase is started changing past decision have major drawbacks (to make the game more ""realistic"")."
