Timestamp,I did reflect on how a design option could impact the stakeholder’s concerns.,(optional) Are there any additional remarks to your answer?,The templates motivated me to document the reasons behind the chosen design options.,(optional) Are there any additional remarks to your answer?,"When addressing a new concern, the templates motivated me to revisit earlier design decisions.",(optional) Are there any additional remarks to your answer?,The game helped me maintain the consistency among the design decisions.,(optional) Are there any additional remarks to your answer?,"To make design decisions, I had to consider trading a quality attribute for another.",(optional) Are there any additional remarks to your answer?,The quality impacts on the concern cards motivated me to explicitly reason about trade-offs in quality.,(optional) Are there any additional remarks to your answer?,"To decide on the best design option, I discussed design ideas with the other players.",(optional) Are there any additional remarks to your answer?,The use of the decision preparation template gave me an opportunity to contribute new design ideas.,(optional) Are there any additional remarks to your answer?,The differences (e.g. in experience) between the players led to discussions about different design ideas.,(optional) Are there any additional remarks to your answer?,"During the game, we had to change past decisions.",(optional) Are there any additional remarks to your answer?,"When changing design decisions, I maintained the consistency among design decisions.",(optional) Are there any additional remarks to your answer?,The templates helped me to revisit design decisions to maintain consistency among changed design decisions.,(optional) Are there any additional remarks to your answer?,"As the design progressed, changing a design decision required me to use an increasing amount of time to maintain consistency between design decisions.",(optional) Are there any additional remarks to your answer?,The game was fun.,(optional) Are there any additional remarks to your answer?,The cards were easy to understand.,(optional) Are there any additional remarks to your answer?,The rules were clear.,(optional) Are there any additional remarks to your answer?,The scoring sheet was clear.,(optional) Are there any additional remarks to your answer?,"Did you address all concerns? If yes, how long did it take?",(optional) Are there any additional remarks to your answer?,What is your Game Group-ID?,What master programme are you enrolled in?,Do you have any professional experience as a: [Software Developer],Do you have any professional experience as a: [Software Engineer],Do you have any professional experience as a: [Software Architect],(optional) Are there any additional remarks to your answer?,What did you learn during the game?,Do you have any feedback or suggestions for the game?
11/26/2018 12:27:02,Strongly Agree,,Strongly Agree,,Neutral,"Unfortunately, our team believed considered revisiting a previous concern was only an option after an event card.",Agree,It becomes difficult after a point to argue trading off a certain concern which you just recently satisfied for another less important when you dont't really have any other choice than hurting satisfaction for all concerns.,Strongly Agree,,Strongly Agree,We often found ourselves wondering why none of the options given for a security-related concern actually improved security satisfaction.,Strongly Agree,I tried to ask for and understand and challenge my team mates' rationales.,Agree,"Due to time constraints, we did not consider new ideas and analyzing tradeoffs that much.",Agree,We had an interesting discussion on a security option between bank-like PIN generating gadgets vs bitcoin-exchange-like bag of words pin.,Not Applicable (N/A),The single event card we had drawn did not affect our decisions.,Neutral,"If, in this case, consistency is defined as always chosing to improve a set of concerns over another, then no. We always had to thing about trading off a concern which was overly satisfied for another.",Not Applicable (N/A),"As mentioned before, we did not believe the rules allow us to revisit unless an event card was drawn",Not Applicable (N/A),,Neutral,"The game was well-made, but we did not have enough time to satisfy enough concerns, and drawing cards at random didn't help much either.",Strongly Agree,,Agree,Yes. Except for the misunderstanding mentioned above,Strongly Agree,,We did not address all concerns.,"There did not seem to be enough time to visit, discuss and choose options, all while also keeping track of satisfaction",9 hearts,MSc. Computer Science (I&WT track),Yes,No,No,,"Decisions may be revisited given new context. Never just stick to an option. Always be open to adapting. No rationale is bad, but rationale becomes outdated with changes in context.","Reconsider the time limit, number of concern cards, as well as how the options impact the concerns. A couple did not seem to make sense."
11/26/2018 12:27:56,Agree,,Agree,"In reality, we could not just ignore some specific quality attribute in certain question, such as security for payments, privacy issue which are conflic about score in some way.",Disagree,,Agree,,Agree,"Because there are score require, some choice are not that satified as my request.",Disagree,,Strongly Agree,"Every time our team makes choice, we will dicuss deeply and make a better choice that we all agreed.",Neutral,,Agree,"some people are more concern about score, some are more reality.",Strongly Agree,Because the score.,Neutral,,Agree,,Neutral,We forgot about time and did not finish all the concerns.,Agree,"It is fun, although we failed the game.",Agree,,Agree,,Agree,,Yes. We played more than 15 minutes.,,9 clubs,Computer Science - Software Engineering & Green IT,No,No,No,,There are many quality attributes that we should trade off instead of choosing the highest score in specifc quality seems important fot one concerns. We want every quality attribute are high but it is not possible.,Longer time i supposed.
11/26/2018 12:28:30,Strongly Agree,"I think this made us focus too much on these in the end, making it difficult to make decisions at all. This made us not be able to finish on time, which is good, because we need to be able to design architectures under the pressure of deadlines.",Strongly Agree,"I think this created a great framework for discussion, since everyone could think of their rationale, write it down and we could easily compare rationale.",Disagree,"I personally did not revisit earliers desicions when a new concern was introduced. Events did however make me revisit old decisions because I figured that was part of the assignment since it was mentioned in the rulebook. I cant remember if a sentence is in the rulebook that explains that you can go back to old decisions when a new concern is introduced, so maybe it is good to add that. Since that sentence was in the rulebook for events, we did revisit old decisions after getting a new event.",Strongly Agree,"Mostly for points, but it definitely showed how the different decisions work together to create an architecture that must satisfy the stakeholders. ",Strongly Agree,"This was super interesting. We had multiple scenarios where a QA would go below the stakeholders priority just to bump up another one which was below the stakeholders priority and such. It really made me (and the group) consider which QA would be more important for the stakeholder, but also in the long run.",Strongly Agree,As mentioned for question 5. It definitely did.,Strongly Agree,"Mostly after picking our own decisions, and then deciding for one for the group. Because of the template given, the discussions could be very well organized. The discussions were mostly points based though: we need +1 for maintainability so we can do with -1 for security, etc.",Agree,"It is difficult to come up with your own ideas, especially when there is already an idea on the card, you will most likely start with a contribution that is close to the one proposed, but it definitely made the contributing part of the game more fun. Keep an eye out for player that will say: This is a nice contribution and I get +2 for usability and +2 for performance because we need those, haha..",Agree,"We mostly followed the design decisions on the concern cards, but we could definitely see that some people had a harder time thinking of design ideas then others. This did however greatly increase the flexibility and collaboration.",Agree,"We had an event which did not make us change our decision, but if there would have been an event that had to lead to a change we would definitely have.",Strongly Agree,,Agree,"This will go out of hand very quickly, especially because of the 30 minute game window we had, there is simply no time to go over all the decisions all the time if we want to finish the game in time.",Strongly Agree,"As said at question 12 that can be a problem, but it does show that an architect really needs to keep an eye on his or her deadlines.",Strongly Agree,"I really enjoyed the game. Its very all round and really shows the importance of balancing concerns of stakeholders and design decisions really well. We did not really keep the time in mind. If we would have, the game would be a lot more stressful, since we would have to really focus on making decisions fast.",Strongly Agree,,Strongly Agree,"Except for the rule where we were allowed to change old decisions when taking new decisions. Which makes sense, but I did not consider this, since I could not remember this from the rulebook.",Strongly Agree,,We did not address all concerns.,,9 of diamonds,Computer Science CSS,Yes,Yes,Yes,Mostly for big school projects/internships,"Time management, and really trying to balance the concerns of the stakeholders to your design decisions. We already did this for the first assignment of this course, but giving everything a pointing scale made it a lot more visible and understandable what certain decisions can mean for your project and its stakeholders.","I think I already wrote a lot down here haha. I like the 30minutes time frame, but it felt very short. If this is the idea behind the time frame, keep it. Otherwise increase it maybe. Also, we had no clue how you could ever get 20+ points for this game. That would be interesting."
11/26/2018 12:29:20,Agree,"At the end it was only looking at the amount of -- and ++, not reading the description any more",Neutral,not enough time to motivate all the decisions ,Agree,"To make up for -- from prev cars, but this takes to many time ",Agree,,Agree,Some where more important than others,Strongly Agree,,Neutral,"In the beginning, but in the end we didn't have time left",Agree,,Disagree,"In the beginning, but at the end didn't have muse time for",Agree,,Neutral,,Agree,,Disagree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,We did not address all concerns.,We did have 4 left,J of diamonds,Computer Science,Yes,No,No,,Developing a system takes more than 30 minuets,"Itś a great game, but maybe a little more time. to read the project before startiingng"
11/26/2018 12:30:01,Strongly Agree,"Different design options have different impact on many different attributes, which address different concerns of stakeholders.",Agree,We have to think about the resons behind to balance the stars we got and we will get.,Agree,The new concern card in new template may have a better result based on a different earlier design decisions.,Disagree,"The star-based options make me calculate the overall stars I can get through the design decisions, which harms the consistency.",Agree,"No perfect decision for every quality attribute, so trading is a way to make it seem better.",Agree,,Strongly Agree,Different plays have different views on the design options and have different ways to record the results. So discussing with them is helpful.,Agree,The preparation template gave me a place to store my own ideas on dicisions without affecting others.,Agree,Different players have different preferences on how to choose and balance the decisions.,Neutral,"We may not have to, but chaning the decision is possible during the process.",Neutral,"I maintained the way of choosing design decions, but I am not sure if I maitained the csonsistency itself.",Strongly Agree,It is an important reflection of the game.,Neutral,I recorded different dicisions but it still needs more time to change decisions.,Strongly Agree,It is fun but maybe the time limit is short. I want another round.,Strongly Agree,,Strongly Agree,,Strongly Agree,,We did not address all concerns.,The time passes fast. We should focus on the time limit more carefully.,10 Hearts,Computer Science (Big Data),No,No,No,,As I mentioned before.And it is a remind of decision making consistency.,It is fun but we need more time.
11/26/2018 12:30:28,Strongly Agree,"We add one more impact on one option. For 3rd platform advertisment, one minus for security.",Disagree,We just care more about the number of pluses minus minuses. ,Strongly Agree,"For every concerns, we think how many pluses we have had. If the number of pluses minus minuses is euqally, we try to address the most urgent Quality(with the biggest gap yet).",Agree,"To address the concerns, it's not a single work for each one. We think about the total impact, for past, now and future.",Agree,"In the beginning without the first event, the security requirement is low.So we trade this quality attribute for another more import one.",Strongly Agree,"The evaluation of pluses and minuses is really like trade-off. We desire more pluses, like profits. And also, we don't want to lose the basic concerns of the stakeholders.",Strongly Agree,"We discuss about every concerns with each other. Additionally, we work out for tow more options together.",Disagree,,Disagree,,Strongly Agree,The new event prevent us some options. We have to change one.,Strongly Agree,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,We did not address all concerns.,"30 minutes is not enough for us. We spend a lot of time on discussing the question marks. To design a new concern, we always discuss for a long time.",10 clubs,Global Exchange Programme in UvA.,No,No,No,,"Group discussion always take a lot of time. We need to think of our own rationale, which is efficient for group working. Also, I learn about how to design  new concerns and quality attribute impact. As there are events, we also need to revisit our previous concerns and decisions.","It's a excellent game. I hope it can take more longer, or just alarm us when there is only 5 minutes, which will drive us accelerating our progress."
11/26/2018 12:32:15,Agree,,Neutral,There was not enough time to properly reflect on our reasoning.,Agree,"Not enough time, but I we were able to retrack to fix some of the events that came up.",Strongly Agree,We kept our distributed approach throughout the game. ,Agree,,Agree,"The problem is however, that we know the scores on the cards. It's better to keep them hidden until the end of the game so we know what our decisions actually impacted.",Strongly Agree,,Agree,,Neutral,We mostly agreed in all decisions.,Agree,The events that popped up slightly impacted some of ours choices. Those stakeholders are never happy.,Strongly Agree,We kept our distributed approach throughout.,Agree,"We had to not use any local databases, which kept our distributed approach in line.",Agree,,Strongly Agree,,Agree,"Most of the people would probably look at the numbers of the cards instead of the text itself, therefore I'd propose to remove the + and - and only introduce them at the end of the game, so we have to think ourselves of what impact our choices have.",Agree,,Agree,,Yes. We played more than 15 minutes.,"We kind of rushed through the concerns, but we did manage to address them all.",Jack of Clubs,Computer Science (CSS track),No,No,No,,Stakeholders change their mind too quickly. ,"As I mentioned before, hide the +'s and -'s until the end of the game, because right now we have a number's game in a game."
11/26/2018 12:34:11,Strongly Agree,In the choices I not only took the stakeholders concerns in mind but also the type of system was to be built,Agree,I would have documented it anyway in order to keep the overview,Agree,"Agree, we had a mission and could budget requirements in order to satisfy the stakeholders",Disagree,"It rather abstracted the notion of real life implications (which aren't a game) , this became more a sort of yathzee",Neutral,"I did, but the game didn't make the trading more professional/ academic, ",Disagree,"Agree and disagree actually, yes the potential  trade-off perspectives got more clear, though like I stated earlier the game provokes an abstraction of the impacts and therefor its possible then one looses track of what is actually on stake",Agree,,Agree,,Disagree,we where all (too) result driven ( in real life this is how disasters can happen),Agree,"True, we had to make some adjustments in order to reach our (updated) targets",Agree,We tried where possible,Disagree,"It didn't, in contrary, it made the FULL consequences more abstract, ",Agree,,Agree,,Agree,,Strongly Agree,,Agree,,Yes. We played more than 15 minutes.,,Ace of Hearts,Computational Science,No,No,No,,the dangers of abstraction ,Bigger cards = easier to read when playing under time pressure
11/26/2018 12:39:46,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,One of concerns card mentions about onion that is hard understand for me,Strongly Agree,,Strongly Agree,,Yes. We played more than 15 minutes.,,Jack of Spades,Software engineering + Green IT,Yes,Yes,Yes,,During the game I fully understand that all the architectures need to meet the requirements from stakeholders and every option will change the quality requirement in the end. The decision you made will be influence on your architecture.,"In my opinion, the time of game could be longer therefore we have enough time to discuss and make a decision. "
11/26/2018 12:44:19,Strongly Agree,We had to assess each option so that it satisfies as much as it can the importance(priority level) of each stakeholder.,Disagree,"Due to a limited amount of time, documenting the reasons somehow came to be very short, although we discussed them.",Agree,,Agree,,Strongly Agree,It was a gamble.,Agree,,Strongly Agree,,Neutral,,Disagree,"We just needed more time, we had nice discussions ",Agree,,Neutral,,Neutral,,Agree,,Strongly Agree,Would be nice if the game was a little longer,Strongly Agree,,Strongly Agree,,Strongly Agree,,We did not address all concerns.,,Kings of Clubs,Big Data Engineering,No,No,No,,"After discussing first two concerns in depth we realized that it is taking a lot of time and we did not manage to  finish all the concern cards. However, we had very well argumented discussions and we were confident with our choices until the last minute, where we lost points on the non-used cards. ",Maybe make it 45 mins or even 1hour long and then it would be fun to see after all concern cards and events cards are used which group had the most points.
11/26/2018 12:44:51,Neutral,"While I did reflect on the concerns, it was on a very superficial level. It was a lot about min-maxing the numbers to meet the priorities, and not really about designing an architecture.",Agree,"I don't think it was the sheet's fault, but because of the length of the game it was hard to not immediately throw your thoughts into the group.",Neutral,,Disagree,"Some choices were conflicting within the game, because you needed the points in other quality attributes",Strongly Agree,This was the main part of the game. Sacrificing one thing while gaining on another. ,Agree,"I agree, but again, because of the time limit, and the punishment for not finishing all concern cards, the reasoning was super short.",Strongly Agree,,Neutral,We only discussed one card that had options to bring in your own contributions.,Disagree,"There weren't a lot of differences, so the discussions were pretty short, especially considering the time limit.",Neutral,"I think this was an important part of the game, but it did not really play out this way in our play sessions.",Disagree,,Neutral,,Strongly Agree,,Agree,,Agree,It would have been better to always use the same order of quality attributes.,Agree,,Agree,,We did not address all concerns.,We had 3 concern cards left to play,King of Clubs,Computer Science - track Computer Systems Security,Yes,No,No,,"That decision making needs to be quick, and that there is always a tradeoff.",Make it longer. 30 minutes is too short to think about the concerns on an individual level.
11/26/2018 12:45:19,Agree,,Strongly Agree,"We didn't write done the rationales carefully because we are too rushed to win the game, actually it's very important.",Strongly Agree,,Agree,It's important to re-evaluate impact each time new design options are taken.,Strongly Agree,,Agree,Although we are not completely agreed with all the quality impacts given on the cards.,Agree,"The time was too short, so I didn't have too much time to discuss the design ideas in details.",Agree,"For the same reason above, shame that I didn't contribute too many new ideas.",Neutral,Not too much time to do that,Strongly Agree,,Agree,We tried to revisit the previously discussed design decisions and maintain the consistency. ,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Yes. We played more than 15 minutes.,"It took us about 30 minutes to address all the concerns, however, it was very rushed at the end of the game.",J of clubs ,Information Studies (Uva),No,No,No,"I have experience in business sector, actually in supply chain management","It's very important to study stakeholder's concerns carefully, and be flexible. Also, each time when a new requirement comes in, it's crucial to rate all the requirements and prioritise  the important ones, not just the new one. It's important to document the reason why a particular decision is taken, so that colleagues in a different team will have a clue. Finally , it's important to consider the impact on the quality attributes for each option.","This is a good game, similar games can also be designed such as using role play techniques. I would prefer a bit more time allowance for the game."
11/26/2018 12:46:02,Strongly Agree,"The ""fill-it-yourself"" options, encouraged a lot of discussion but it also took a lot of time. ",Agree,"However,  filling the forms took a long of time from each team member which contributed to not finishing all concerns",Neutral,"None of our concerns had too much impact of previous concerns, maybe because of the order in which they were picked so we didn't readdress previous points. It was also not enough time to readdress those options. ",Agree,,Agree,A lot of the options of solving the concern encouraged debate among us as to what should we focus on.,Agree,The group debated a few options while choosing the options but we were rather facused on the scoring sheet than debating actual system.,Agree,"We debated the options, but most of us choose and agreed on the same options.",Disagree,Only 2 new design choices were made in our group and took a lot of time to debate the quality scores. ,Not Applicable (N/A),I do not know of the experience of other players and the group didn't have such different opinions on options to choose.,Disagree,"We did not change any decisions during our game. We did get a ""fire"" card but that didn't influence our previous design because of our previous choices. ",Not Applicable (N/A),We did not change any design decisions.,Agree,,Disagree,We chose the options with relatively neutral effect because of the lack of time.,Neutral,"The game wasn't bad but the time was not sufficient. If the game was to encourage debating of quality of solutions AND changing some solutions later, the time was not sufficient or there were too many cards.",Agree,,Neutral,The rules were clear only after one or two cards drawn. ,Agree,,We did not address all concerns.,"Going back to question 14. If the aim of the game was to address all concerns and debate them and then change the previous options, the time was not sufficient. ",King of hears,Big Data Engineering ,No,No,No,,"Our gameplay was more focused on scoring points than on debating as after 2 addressed concerns we realized that the game is taking a lot of time and we'd not be able to finish. The two first cards we actually debated the decisions with our own arguments on our own first, later on we picked the ""best"" decision for the system rather than actually debating them. ","More time. We lost 3 points for not finishing the game and it would be interesting to do actual debate of our ""preferences"" with the group rather than think together to achieve best scores (which I know is the point of the game but it would be good to debate our points)."
11/26/2018 12:50:13,Strongly Agree,"Overall after 3 concern cards we really only assessed the impact of the + and - on the overall score and not what these options really meant or if the values for these options are plausible. It would have been better to let people estimate the + and - values and in the end reveal what the game makers think of how the values are. Then the players individual score could be assessed on the accuracy of estimations. Of course, this only can work if nobody knows the game makers' proposed values before.",Strongly Disagree,"The aim of the game is to meet and improve the overall score. The players find out very quickly, that they can maximize not by reasoning but by just choosing and counting cleverly the impacts without reasoning at all about the available options. In one of our concerns we had even mutually exclusive options to previously chosen (e.g. storing locally vs. storing externally), which was said to be outside the scope of the game. Overall the templates then were useless as there is no incentive to document as the reasons to take an option are always only ""maximizes the result for the current state of results.""",Strongly Disagree,See remarks for 2.,Strongly Disagree,See 2. There were mutually exclusive design decisions. It was said that taking these is okay as the part where they are mutually exclusive is outside the scope of the game.,Strongly Agree,"Yes, as they were clashing with each other it was not possible to always have the best option without some losses to the overall value.",Strongly Disagree,"No, if at all a reasoning was based on comparing the alternatives and picking the one with the best score. I wouldn't say that this is reasoning.",Strongly Agree,"Yes, but that also meant that the individual evaluation part was lacking a lot. Not only was there not enough time to individually assess the options but it didn't make any sense to individually assess and document and then discuss as - as stated above - the goal of the game was to have a high score and often as the values present themselves deciding for one option is based only on a quantitative and comparative analysis. So there was no real reasoning and discussing behind it.",Strongly Disagree,See above.,Strongly Disagree,See above.,Strongly Disagree,With the choices that we took maintainability was high before the event raised the importance of maintainability ,Strongly Disagree,See above.,Strongly Disagree,See above.,Strongly Disagree,See above.,Agree,"Yes, but I was disappointed as it eventually turned only into a impact score counting game and what to me is not the gist of software architecture which I find to be to come up and assess architectural decisions and use well known tools and techniques to do that",Strongly Agree,,Strongly Agree,,Disagree,"I find that the order of quality attributes should be maintained throughout every appearance. Often we felt that filling out the sheets the order was always different, e.g. in one instance Security was after Availability and in the other instance Availability came before Security. When filling out the scores in the sheets and reading off the impact from concern cards this is a minor nuisance.",We did not address all concerns.,We were lacking 3 concern cards.,King of Clubs,Computer Science Internet & Web Technology,No,No,No,,To count up + and - ,"See my suggestions above. I liked the game approach a lot, but so far the game doesn't achieve what it aims for - to be a game about software architecture. I would propose to remove the part about individually assessing the alternatives and straight up just provide a starting point for discussion by providing 2-3 alternatives to choose from at the concern cards without providing impacts of the three alternatives. The group then has to come up by discussion with the impacts of a decision. After some point in the game (maybe at the end or when a event card was drawn) the actual impacts which are thought of by the games makers' is revealed. A wrong assessment would then e.g. lead to point losses or punish otherwise. This gives players reason to actually reason and learn about how the metric of their decisions is. Also I think that there were too many concern cards for 30 min."
11/27/2018 14:26:17,Agree,,Agree,,Agree,,Neutral,,Strongly Agree,,Agree,,Agree,,Disagree,,Strongly Agree,,Strongly Agree,,Agree,,Agree,,Neutral,,Agree,,Agree,,Agree,,Strongly Agree,,We did not address all concerns.,,Tuesday - Lars,IS,No,Yes,No,,desisions are about trade-offs.,NA
11/27/2018 14:27:28,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Agree,,Agree,,Neutral,,Agree,,Neutral,,Agree,,Agree,,We did not address all concerns.,,Tuesday,Information Sciences,No,No,Yes,,That different options have different consequences. ,longer time. 
11/27/2018 14:28:05,Neutral,,Strongly Disagree,"It was not about the words or reasoning, just the total amount of + and -",Disagree,We had too little time,Disagree,We had to cover the weaknesses of previous cards,Strongly Agree,,Agree,,Agree,,Not Applicable (N/A),,Neutral,,Agree,"Once, to get more Maintainability",Neutral,,Neutral,,Neutral,,Agree,,Strongly Agree,,Neutral,,Strongly Agree,,We did not address all concerns.,,Tuesday,Information Sciences,No,No,No,,"To focus on the + and - , not on what is actually implemented",Fun game!
11/27/2018 14:29:12,Agree,,Agree,,Strongly Agree,"After the second concerns, we initially wanted to change the first concern. Eventually we did that at the end.",Neutral,,Agree,,Strongly Agree,,Agree,That was part of the game,Disagree,,Disagree,,Strongly Agree,See above,Neutral,,Not Applicable (N/A),,Agree,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,We did not address all concerns.,,Tuesday,Computer Science,No,No,No,,To think about certain trade offs between quality attributes,A bit more time to address all the concerns
11/27/2018 14:30:32,Agree,,Neutral,i primarily looked at the weights to each option to choose ,Agree,"however, we did not have a lot of time to revisit so it did not invoke a discussion about it ",Agree,,Strongly Agree,,Agree,,Strongly Agree,the different weights really caused for a discussion about that too choose and what would be best based on earlier decisions ,Strongly Disagree,,Neutral,,Agree,however there was not enough time to do this properly ,Disagree,,Neutral,,Agree,,Strongly Agree,it was really fun but maybe a 45 minute time restrain would be better,Strongly Agree,,Strongly Agree,,Strongly Agree,,We did not address all concerns.,,Tuesday,Information Sciences,No,No,No,,communicating about trade offs ,give more time
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strongly Agree,40,,13,,14,,8,,48,,27,,49,,4,,15,,19,,5,,9,,17,,31,,43,,41,,39,,,,,,,,,,,
Agree,35,,38,,32,,35,,26,,39,,24,,33,,24,,24,,20,,30,,24,,36,,32,,31,,33,,,,,,,,,,,
Neutral,2,,18,,15,,18,,2,,8,,4,,26,,21,,9,,26,,20,,17,,9,,2,,5,,3,,,,,,,,,,,
Disagree,0,,6,,15,,15,,0,,2,,0,,11,,11,,16,,11,,5,,9,,0,,0,,0,,1,,,,,,,,,,,
Strongly Disagree,0,,2,,1,,1,,0,,1,,0,,2,,4,,2,,1,,1,,1,,0,,0,,0,,0,,,,,,,,,,,
Not Applicable (N/A),0,,0,,0,,0,,1,,0,,0,,1,,2,,7,,14,,12,,9,,0,,0,,0,,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totaal,77,,77,,77,,77,,77,,77,,77,,77,,77,,77,,77,,77,,77,,76,,77,,77,,76,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentages,S1.1,,S1.3,,S3.5,,S3.6,,S1.2,,S1.4,,S2.1,,S2.3,,S2.2,,S3.3,,S3.1,,S3.4,,S3.2,,S4.1,,S4.2,,S4.3,,S4.4,,,,,,,,,,,
Strongly Agree,52,,17,,18,,10,,62,,35,,64,,5,,19,,25,,6,,12,,22,,41,,56,,53,,51,,,,,,,,,,,
Agree,45,,49,,42,,45,,34,,51,,31,,43,,31,,31,,26,,39,,31,,47,,42,,40,,43,,,,,,,,,,,
Neutral,3,,23,,19,,23,,3,,10,,5,,34,,27,,12,,34,,26,,22,,12,,3,,6,,4,,,,,,,,,,,
Disagree,0,,8,,19,,19,,0,,3,,0,,14,,14,,21,,14,,6,,12,,0,,0,,0,,1,,,,,,,,,,,
Strongly Disagree,0,,3,,1,,1,,0,,1,,0,,3,,5,,3,,1,,1,,1,,0,,0,,0,,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corrected percentages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strongly Agree,52,,17,,18,,10,,63,,35,,64,,5,,20,,27,,8,,14,,25,,41,,56,,53,,51,,,,,,,,,,,
Agree,45,,49,,42,,45,,34,,51,,31,,43,,32,,34,,32,,46,,35,,47,,42,,40,,43,,,,,,,,,,,
Neutral,3,,23,,19,,23,,3,,10,,5,,34,,28,,13,,41,,31,,25,,12,,3,,6,,4,,,,,,,,,,,
Disagree,0,,8,,19,,19,,0,,3,,0,,14,,15,,23,,17,,8,,13,,0,,0,,0,,1,,,,,,,,,,,
Strongly Disagree,0,,3,,1,,1,,0,,1,,0,,3,,5,,3,,2,,2,,1,,0,,0,,0,,0,,,,,,,,,,,